epoch,train_loss,val_loss,delta1,delta2,delta3,rmse,abs_rel,sq_rel,silog
66,0.0251,0.2741,0.9541,0.9898,0.9981,0.8480,0.0814,0.1144,0.1193
67,0.0254,0.2842,0.9457,0.9873,0.9974,0.8778,0.0857,0.1271,0.1226
68,0.0252,0.2763,0.9535,0.9893,0.9982,0.8574,0.0817,0.1163,0.1206
69,0.0249,0.2785,0.9476,0.9872,0.9975,0.8620,0.0838,0.1235,0.1211
70,0.0252,0.2814,0.9495,0.9879,0.9978,0.8611,0.0841,0.1219,0.1210
71,0.0244,0.2789,0.9493,0.9884,0.9979,0.8560,0.0839,0.1198,0.1202
72,0.0243,0.2694,0.9528,0.9887,0.9981,0.8471,0.0813,0.1163,0.1195
73,0.0245,0.2701,0.9489,0.9876,0.9976,0.8455,0.0828,0.1197,0.1192
74,0.0243,0.2749,0.9488,0.9879,0.9977,0.8530,0.0832,0.1206,0.1196
75,0.0240,0.2739,0.9484,0.9873,0.9976,0.8495,0.0829,0.1207,0.1197
76,0.0237,0.2755,0.9515,0.9880,0.9978,0.8602,0.0832,0.1212,0.1212
77,0.0235,0.2690,0.9483,0.9874,0.9975,0.8435,0.0830,0.1206,0.1187
78,0.0235,0.2732,0.9518,0.9882,0.9980,0.8594,0.0826,0.1203,0.1206
79,0.0237,0.2653,0.9519,0.9883,0.9980,0.8387,0.0809,0.1154,0.1182
80,0.0230,0.2682,0.9523,0.9887,0.9979,0.8507,0.0818,0.1180,0.1196
81,0.0227,0.2706,0.9486,0.9876,0.9978,0.8457,0.0829,0.1197,0.1182
82,0.0226,0.2712,0.9469,0.9872,0.9976,0.8531,0.0835,0.1226,0.1185
83,0.0222,0.2609,0.9470,0.9873,0.9974,0.8322,0.0819,0.1188,0.1169
84,0.0227,0.2668,0.9505,0.9878,0.9978,0.8392,0.0816,0.1180,0.1181
85,0.0221,0.2696,0.9527,0.9890,0.9981,0.8331,0.0810,0.1138,0.1177
86,0.0221,0.2654,0.9542,0.9895,0.9980,0.8297,0.0797,0.1118,0.1177
87,0.0225,0.2709,0.9514,0.9881,0.9978,0.8465,0.0815,0.1185,0.1199
88,0.0221,0.2620,0.9517,0.9889,0.9982,0.8423,0.0814,0.1164,0.1185
89,0.0215,0.2616,0.9474,0.9872,0.9976,0.8375,0.0813,0.1197,0.1172
90,0.0218,0.2642,0.9534,0.9891,0.9979,0.8382,0.0804,0.1147,0.1184
91,0.0215,0.2559,0.9481,0.9880,0.9978,0.8248,0.0805,0.1154,0.1164
92,0.0213,0.2540,0.9533,0.9894,0.9980,0.8164,0.0793,0.1104,0.1152
93,0.0214,0.2633,0.9583,0.9905,0.9984,0.8412,0.0795,0.1111,0.1194
94,0.0216,0.2625,0.9516,0.9887,0.9980,0.8398,0.0815,0.1162,0.1177
95,0.0212,0.2655,0.9516,0.9885,0.9980,0.8498,0.0820,0.1179,0.1191
96,0.0212,0.2638,0.9504,0.9886,0.9980,0.8348,0.0811,0.1150,0.1180
97,0.0209,0.2628,0.9462,0.9871,0.9975,0.8347,0.0828,0.1199,0.1169
98,0.0211,0.2555,0.9539,0.9891,0.9983,0.8218,0.0795,0.1105,0.1167
99,0.0205,0.2573,0.9551,0.9894,0.9981,0.8295,0.0794,0.1115,0.1178
100,0.0212,0.2577,0.9500,0.9881,0.9979,0.8300,0.0805,0.1152,0.1174
