epoch,train_loss,val_loss,delta1,delta2,delta3,rmse,abs_rel,sq_rel,silog
68,0.0273,0.1660,0.8763,0.9714,0.9914,0.6595,0.1589,0.1311,0.2045
69,0.0290,0.1709,0.8893,0.9729,0.9933,0.6669,0.1574,0.1294,0.2053
70,0.0282,0.1773,0.8788,0.9719,0.9911,0.6611,0.1595,0.1319,0.2050
71,0.0280,0.1723,0.8689,0.9706,0.9906,0.6640,0.1602,0.1340,0.2049
72,0.0269,0.1776,0.8816,0.9716,0.9916,0.6637,0.1600,0.1324,0.2056
73,0.0272,0.1813,0.8613,0.9678,0.9890,0.6678,0.1629,0.1378,0.2056
74,0.0275,0.1767,0.8909,0.9735,0.9925,0.6676,0.1574,0.1302,0.2048
75,0.0275,0.1794,0.8578,0.9674,0.9890,0.6651,0.1628,0.1372,0.2047
76,0.0279,0.1754,0.8549,0.9662,0.9879,0.6673,0.1641,0.1399,0.2048
77,0.0266,0.1773,0.8725,0.9687,0.9906,0.6623,0.1597,0.1330,0.2047
78,0.0263,0.1778,0.8603,0.9668,0.9888,0.6597,0.1629,0.1362,0.2042
79,0.0260,0.1752,0.8900,0.9730,0.9911,0.6622,0.1563,0.1299,0.2046
80,0.0261,0.1789,0.8979,0.9739,0.9928,0.6695,0.1575,0.1303,0.2059
81,0.0257,0.1753,0.8726,0.9706,0.9902,0.6580,0.1586,0.1320,0.2033
82,0.0252,0.1769,0.8679,0.9690,0.9889,0.6669,0.1611,0.1370,0.2046
83,0.0258,0.1813,0.8539,0.9661,0.9882,0.6652,0.1643,0.1397,0.2040
84,0.0254,0.1722,0.8782,0.9709,0.9903,0.6572,0.1583,0.1312,0.2034
85,0.0249,0.1772,0.8639,0.9671,0.9891,0.6608,0.1621,0.1354,0.2045
86,0.0251,0.1766,0.8769,0.9707,0.9905,0.6621,0.1591,0.1327,0.2042
87,0.0250,0.1735,0.8733,0.9691,0.9903,0.6625,0.1599,0.1336,0.2043
88,0.0251,0.1836,0.8475,0.9636,0.9876,0.6682,0.1666,0.1425,0.2049
89,0.0247,0.1740,0.8806,0.9714,0.9911,0.6550,0.1572,0.1297,0.2034
90,0.0250,0.1724,0.8583,0.9659,0.9890,0.6638,0.1632,0.1375,0.2049
91,0.0237,0.1739,0.8761,0.9692,0.9909,0.6571,0.1583,0.1310,0.2031
92,0.0245,0.1724,0.8736,0.9690,0.9902,0.6601,0.1589,0.1325,0.2044
93,0.0248,0.1798,0.8507,0.9655,0.9883,0.6662,0.1647,0.1397,0.2037
94,0.0233,0.1763,0.8716,0.9682,0.9904,0.6619,0.1602,0.1331,0.2041
95,0.0237,0.1577,0.8812,0.9710,0.9918,0.6616,0.1578,0.1305,0.2045
96,0.0239,0.1744,0.8690,0.9677,0.9894,0.6604,0.1602,0.1335,0.2042
97,0.0236,0.1729,0.8707,0.9690,0.9899,0.6600,0.1600,0.1328,0.2042
98,0.0234,0.1739,0.8795,0.9718,0.9905,0.6610,0.1580,0.1319,0.2042
99,0.0230,0.1712,0.8807,0.9711,0.9914,0.6559,0.1570,0.1289,0.2025
100,0.0229,0.1780,0.8606,0.9677,0.9883,0.6623,0.1612,0.1372,0.2030
101,0.0231,0.1751,0.8646,0.9680,0.9889,0.6597,0.1611,0.1355,0.2033
102,0.0229,0.1723,0.8701,0.9680,0.9897,0.6562,0.1591,0.1320,0.2022
103,0.0227,0.1747,0.8830,0.9706,0.9910,0.6620,0.1583,0.1314,0.2037
104,0.0228,0.1739,0.8658,0.9677,0.9888,0.6582,0.1599,0.1343,0.2028
105,0.0221,0.1785,0.8725,0.9697,0.9887,0.6613,0.1594,0.1348,0.2042
106,0.0228,0.1760,0.8752,0.9701,0.9891,0.6612,0.1590,0.1336,0.2046
107,0.0221,0.1696,0.8785,0.9700,0.9901,0.6591,0.1576,0.1311,0.2038
108,0.0217,0.1662,0.8687,0.9674,0.9895,0.6581,0.1600,0.1332,nan
109,0.0221,0.1762,0.8703,0.9684,0.9889,0.6622,0.1602,0.1355,0.2033
110,0.0216,0.1759,0.8679,0.9679,0.9887,0.6594,0.1597,0.1346,0.2025
111,0.0214,0.1767,0.8619,0.9660,0.9889,0.6591,0.1620,0.1358,0.2028
112,0.0219,0.1800,0.8531,0.9644,0.9878,0.6666,0.1651,0.1408,0.2046
113,0.0211,0.1698,0.8757,0.9691,0.9904,0.6552,0.1576,0.1306,0.2017
114,0.0216,0.1707,0.8910,0.9712,0.9920,0.6582,0.1565,0.1286,0.2029
115,0.0217,0.1741,0.8617,0.9651,0.9884,0.6576,0.1622,0.1365,0.2024
116,0.0220,0.1771,0.8671,0.9672,0.9887,0.6574,0.1606,0.1349,0.2019
117,0.0208,0.1725,0.8791,0.9677,0.9897,0.6576,0.1583,0.1322,0.2023
118,0.0205,0.1730,0.8745,0.9688,0.9895,0.6584,0.1587,0.1331,0.2022
119,0.0211,0.1721,0.8612,0.9670,0.9885,0.6542,0.1607,0.1347,0.2012
120,0.0209,0.1762,0.8693,0.9674,0.9890,0.6603,0.1606,0.1352,0.2027
121,0.0210,0.1738,0.8679,0.9668,0.9893,0.6594,0.1599,0.1341,0.2030
122,0.0210,0.1713,0.8730,0.9681,0.9893,0.6555,0.1584,0.1324,0.2019
123,0.0202,0.1759,0.8548,0.9644,0.9885,0.6618,0.1637,0.1381,0.2021
124,0.0203,0.1735,0.8662,0.9664,0.9883,0.6583,0.1615,0.1357,0.2030
125,0.0201,0.1736,0.8744,0.9680,0.9890,0.6593,0.1593,0.1336,0.2040
126,0.0205,0.1735,0.8787,0.9694,0.9900,0.6570,0.1579,0.1315,0.2024
127,0.0202,0.1727,0.8632,0.9654,0.9886,0.6550,0.1615,0.1349,0.2024
128,0.0202,0.1720,0.8783,0.9686,0.9898,0.6585,0.1580,0.1321,0.2030
129,0.0200,0.1733,0.8778,0.9690,0.9899,0.6593,0.1579,0.1329,0.2032
130,0.0201,0.1740,0.8778,0.9692,0.9892,0.6591,0.1592,0.1334,0.2044
131,0.0198,0.1726,0.8839,0.9696,0.9907,0.6571,0.1570,0.1300,0.2030
132,0.0192,0.1720,0.8704,0.9678,0.9894,0.6509,0.1588,0.1318,0.2016
133,0.0196,0.1748,0.8527,0.9636,0.9879,0.6578,0.1645,0.1384,0.2020
134,0.0196,0.1718,0.8757,0.9684,0.9889,0.6545,0.1585,0.1329,0.2027
135,0.0193,0.1721,0.8688,0.9675,0.9890,0.6539,0.1595,0.1334,0.2013
136,0.0197,0.1717,0.8811,0.9691,0.9911,0.6573,0.1574,0.1302,0.2028
137,0.0189,0.1694,0.8721,0.9674,0.9895,0.6529,0.1582,0.1313,0.2021
138,0.0195,0.1720,0.8662,0.9664,0.9887,0.6551,0.1603,0.1343,0.2029
139,0.0190,0.1699,0.8764,0.9678,0.9900,0.6542,0.1585,0.1309,0.2029
140,0.0189,0.1700,0.8773,0.9684,0.9894,0.6506,0.1573,0.1305,0.2011
141,0.0194,0.1700,0.8774,0.9695,0.9898,0.6562,0.1572,0.1312,0.2020
142,0.0186,0.1744,0.8582,0.9657,0.9881,0.6620,0.1630,0.1383,0.2035
143,0.0196,0.1732,0.8596,0.9656,0.9887,0.6586,0.1621,0.1360,0.2027
144,0.0195,0.1719,0.8729,0.9679,0.9896,0.6574,0.1579,0.1324,0.2026
145,0.0186,0.1707,0.8716,0.9667,0.9894,0.6535,0.1586,0.1320,0.2021
146,0.0186,0.1716,0.8786,0.9670,0.9903,0.6590,0.1583,0.1320,0.2039
147,0.0185,0.1707,0.8745,0.9682,0.9900,0.6533,0.1577,0.1308,0.2014
148,0.0186,0.1755,0.8617,0.9673,0.9879,0.6612,0.1620,0.1377,0.2033
149,0.0189,0.1715,0.8723,0.9675,0.9897,0.6547,0.1585,0.1317,0.2021
150,0.0183,0.1705,0.8817,0.9695,0.9901,0.6547,0.1566,0.1300,0.2019
151,0.0182,0.1728,0.8691,0.9680,0.9890,0.6554,0.1595,0.1340,0.2021
152,0.0182,0.1693,0.8782,0.9695,0.9901,0.6558,0.1570,0.1306,0.2025
153,0.0182,0.1686,0.8850,0.9702,0.9911,0.6536,0.1552,0.1284,0.2013
154,0.0189,0.1713,0.8681,0.9663,0.9894,0.6563,0.1600,0.1336,0.2028
155,0.0179,0.1707,0.8714,0.9680,0.9896,0.6549,0.1585,0.1323,0.2018
156,0.0176,0.1698,0.8776,0.9697,0.9907,0.6517,0.1565,0.1290,0.2014
157,0.0182,0.1701,0.8739,0.9671,0.9902,0.6565,0.1583,0.1318,0.2033
158,0.0180,0.1709,0.8714,0.9665,0.9897,0.6580,0.1593,0.1333,0.2032
159,0.0180,0.1706,0.8748,0.9673,0.9897,0.6532,0.1583,0.1317,0.2025
160,0.0177,0.1718,0.8698,0.9677,0.9887,0.6548,0.1592,0.1335,0.2023
161,0.0181,0.1702,0.8898,0.9699,0.9906,0.6569,0.1556,0.1287,0.2020
162,0.0175,0.1762,0.8588,0.9646,0.9884,0.6588,0.1626,0.1369,0.2037
163,0.0176,0.1709,0.8708,0.9671,0.9896,0.6551,0.1586,0.1325,0.2029
164,0.0180,0.1738,0.8683,0.9664,0.9887,0.6571,0.1610,0.1352,0.2035
165,0.0178,0.1730,0.8823,0.9687,0.9913,0.6603,0.1578,0.1306,0.2043
166,0.0176,0.1733,0.8785,0.9691,0.9896,0.6590,0.1575,0.1325,0.2031
167,0.0179,0.1726,0.8749,0.9673,0.9895,0.6567,0.1589,0.1325,0.2034
168,0.0166,0.1734,0.8674,0.9668,0.9880,0.6563,0.1599,0.1349,0.2027
169,0.0169,0.1734,0.8650,0.9658,0.9881,0.6565,0.1606,0.1353,0.2028
170,0.0168,0.1770,0.8502,0.9623,0.9874,0.6583,0.1649,0.1404,0.2016
171,0.0171,0.1749,0.8707,0.9673,0.9891,0.6559,0.1589,0.1336,0.2020
172,0.0170,0.1703,0.8787,0.9691,0.9901,0.6547,0.1568,0.1302,0.2023
173,0.0169,0.1710,0.8739,0.9677,0.9888,0.6519,0.1589,0.1325,0.2027
174,0.0173,0.1747,0.8647,0.9669,0.9890,0.6581,0.1604,0.1349,0.2032
175,0.0171,0.1719,0.8794,0.9689,0.9897,0.6536,0.1576,0.1309,0.2031
176,0.0169,0.1735,0.8613,0.9650,0.9881,0.6554,0.1613,0.1351,0.2026
177,0.0167,0.1748,0.8652,0.9658,0.9878,0.6589,0.1610,0.1370,0.2038
178,0.0162,0.1703,0.8832,0.9687,0.9911,0.6577,0.1566,0.1299,0.2026
179,0.0166,0.1721,0.8651,0.9664,0.9884,0.6607,0.1609,0.1362,0.2035
180,0.0166,0.1692,0.8896,0.9706,0.9911,0.6546,0.1551,0.1287,0.2025
181,0.0169,0.1738,0.8651,0.9655,0.9893,0.6567,0.1612,0.1349,0.2035
182,0.0166,0.1699,0.8830,0.9690,0.9910,0.6552,0.1567,0.1298,0.2028
183,0.0167,0.1709,0.8785,0.9679,0.9900,0.6538,0.1570,0.1312,0.2029
184,0.0170,0.1698,0.8848,0.9691,0.9908,0.6550,0.1564,0.1296,0.2028
185,0.0161,0.1715,0.8733,0.9667,0.9898,0.6543,0.1592,0.1327,0.2029
186,0.0161,0.1716,0.8670,0.9657,0.9892,0.6548,0.1604,0.1340,0.2027
187,0.0165,0.1687,0.8877,0.9691,0.9909,0.6542,0.1561,0.1291,0.2031
188,0.0161,0.1714,0.8838,0.9696,0.9904,0.6567,0.1570,0.1304,0.2028
189,0.0162,0.1754,0.8691,0.9658,0.9888,0.6561,0.1607,0.1346,0.2035
190,0.0157,0.1713,0.8805,0.9691,0.9902,0.6514,0.1570,0.1301,0.2020
191,0.0161,0.1687,0.8775,0.9680,0.9914,0.6505,0.1577,0.1291,0.2017
192,0.0159,0.1712,0.8920,0.9710,0.9920,0.6560,0.1553,0.1284,0.2023
193,0.0157,0.1731,0.8720,0.9673,0.9905,0.6544,0.1595,0.1323,0.2020
194,0.0159,0.1750,0.8633,0.9653,0.9883,0.6578,0.1619,0.1365,0.2034
195,0.0158,0.1737,0.8766,0.9677,0.9898,0.6585,0.1589,0.1334,0.2038
196,0.0157,0.1735,0.8754,0.9681,0.9902,0.6548,0.1583,0.1319,0.2028
197,0.0156,0.1740,0.8747,0.9684,0.9903,0.6548,0.1584,0.1316,0.2023
198,0.0160,0.1727,0.8687,0.9667,0.9886,0.6568,0.1602,0.1348,0.2025
199,0.0157,0.1732,0.8620,0.9654,0.9888,0.6565,0.1616,0.1356,0.2027
200,0.0155,0.1749,0.8622,0.9652,0.9885,0.6605,0.1620,0.1369,0.2037
1,1.1985,0.8474,0.9977,0.9996,0.9999,1.8871,0.5746,1.0319,nan
2,0.9203,0.6528,0.9979,0.9996,0.9999,1.6336,0.5104,0.8147,nan
3,0.6762,0.5314,0.9947,0.9990,0.9998,1.4450,0.4507,0.6604,nan
4,0.4918,0.3919,0.9859,0.9971,0.9994,1.2253,0.3540,0.4563,nan
5,0.3478,0.2869,0.9628,0.9932,0.9987,1.0232,0.2896,0.3243,nan
6,0.2418,0.2146,0.9421,0.9863,0.9974,0.8778,0.2256,0.2204,nan
7,0.1689,0.1681,0.9145,0.9796,0.9955,0.7581,0.1959,0.1693,nan
8,0.1197,0.1606,0.9116,0.9791,0.9958,0.7355,0.1876,0.1587,nan
9,0.0900,0.1462,0.8936,0.9749,0.9941,0.6931,0.1787,0.1437,nan
10,0.0727,0.1423,0.8775,0.9714,0.9931,0.6724,0.1799,0.1439,nan
11,0.0629,0.1337,0.8658,0.9671,0.9915,0.6484,0.1780,0.1384,nan
12,0.0560,0.1413,0.8208,0.9566,0.9885,0.6512,0.1872,0.1504,nan
13,0.0530,0.1425,0.7998,0.9485,0.9854,0.6474,0.1966,0.1548,nan
14,0.0524,0.1475,0.8374,0.9610,0.9901,0.6351,0.1813,0.1428,nan
15,0.0509,0.1341,0.8390,0.9601,0.9891,0.6333,0.1809,0.1389,nan
16,0.0503,0.1407,0.8291,0.9586,0.9891,0.6305,0.1825,0.1424,nan
17,0.0470,0.1481,0.8042,0.9516,0.9864,0.6414,0.1909,0.1542,nan
18,0.0470,0.1467,0.8301,0.9572,0.9881,0.6264,0.1821,0.1424,0.2201
19,0.0451,0.1464,0.8542,0.9643,0.9908,0.6214,0.1746,0.1339,nan
20,0.0448,0.1484,0.7754,0.9467,0.9847,0.6472,0.2010,0.1620,nan
21,0.0436,0.1553,0.8136,0.9553,0.9874,0.6303,0.1869,0.1466,0.2191
22,0.0422,0.1494,0.8291,0.9588,0.9888,0.6221,0.1815,0.1397,0.2183
23,0.0418,0.1524,0.8160,0.9575,0.9880,0.6301,0.1850,0.1454,nan
